,k,lambda,min_size,max_size,k_hop,NMI
98,3,9,10,20,1,0.9088872946571218
97,3,9,10,18,2,0.9088872946571218
99,3,9,10,20,2,0.9088872946571218
96,3,9,10,18,1,0.9088872946571218
100,3,9,10,22,1,0.9088872946571218
101,3,9,10,22,2,0.9088872946571218
66,3,5,12,18,1,0.8546515207553085
67,3,5,12,18,2,0.8546515207553085
68,3,5,12,20,1,0.8546515207553085
69,3,5,12,20,2,0.8546515207553085
70,3,5,12,22,1,0.8546515207553085
71,3,5,12,22,2,0.8546515207553085
31,2,7,12,18,2,0.743270722956191
28,2,7,10,22,1,0.743270722956191
29,2,7,10,22,2,0.743270722956191
30,2,7,12,18,1,0.743270722956191
35,2,7,12,22,2,0.743270722956191
47,2,9,10,22,2,0.743270722956191
33,2,7,12,20,2,0.743270722956191
34,2,7,12,22,1,0.743270722956191
26,2,7,10,20,1,0.743270722956191
46,2,9,10,22,1,0.743270722956191
42,2,9,10,18,1,0.743270722956191
43,2,9,10,18,2,0.743270722956191
27,2,7,10,20,2,0.743270722956191
32,2,7,12,20,1,0.743270722956191
25,2,7,10,18,2,0.743270722956191
13,2,5,12,18,2,0.743270722956191
53,2,9,12,22,2,0.743270722956191
52,2,9,12,22,1,0.743270722956191
51,2,9,12,20,2,0.743270722956191
50,2,9,12,20,1,0.743270722956191
49,2,9,12,18,2,0.743270722956191
24,2,7,10,18,1,0.743270722956191
12,2,5,12,18,1,0.743270722956191
14,2,5,12,20,1,0.743270722956191
15,2,5,12,20,2,0.743270722956191
16,2,5,12,22,1,0.743270722956191
17,2,5,12,22,2,0.743270722956191
48,2,9,12,18,1,0.743270722956191
45,2,9,10,20,2,0.743270722956191
44,2,9,10,20,1,0.743270722956191
60,3,5,10,18,1,0.7123920395082036
61,3,5,10,18,2,0.7123920395082036
62,3,5,10,20,1,0.7123920395082036
63,3,5,10,20,2,0.7123920395082036
65,3,5,10,22,2,0.7123920395082036
64,3,5,10,22,1,0.7123920395082036
106,3,9,12,22,1,0.632457879924699
105,3,9,12,20,2,0.632457879924699
104,3,9,12,20,1,0.632457879924699
85,3,7,12,18,2,0.632457879924699
86,3,7,12,20,1,0.632457879924699
87,3,7,12,20,2,0.632457879924699
88,3,7,12,22,1,0.632457879924699
89,3,7,12,22,2,0.632457879924699
103,3,9,12,18,2,0.632457879924699
84,3,7,12,18,1,0.632457879924699
102,3,9,12,18,1,0.632457879924699
107,3,9,12,22,2,0.632457879924699
80,3,7,10,20,1,0.6136340725661514
81,3,7,10,20,2,0.6136340725661514
82,3,7,10,22,1,0.6136340725661514
83,3,7,10,22,2,0.6136340725661514
78,3,7,10,18,1,0.6136340725661514
79,3,7,10,18,2,0.6136340725661514
74,3,7,8,20,1,0.553482617468869
11,2,5,10,22,2,0.5245224946719015
10,2,5,10,22,1,0.5245224946719015
9,2,5,10,20,2,0.5245224946719015
8,2,5,10,20,1,0.5245224946719015
7,2,5,10,18,2,0.5245224946719015
6,2,5,10,18,1,0.5245224946719015
41,2,9,8,22,2,0.4528922142976998
40,2,9,8,22,1,0.4528922142976998
38,2,9,8,20,1,0.4528922142976998
37,2,9,8,18,2,0.4528922142976998
36,2,9,8,18,1,0.4528922142976998
39,2,9,8,20,2,0.4528922142976998
54,3,5,8,18,1,0.42004614202580365
56,3,5,8,20,1,0.42004614202580365
59,3,5,8,22,2,0.42004614202580365
58,3,5,8,22,1,0.42004614202580365
57,3,5,8,20,2,0.42004614202580365
55,3,5,8,18,2,0.42004614202580365
18,2,7,8,18,1,0.3905954649069136
22,2,7,8,22,1,0.3905954649069136
21,2,7,8,20,2,0.3905954649069136
20,2,7,8,20,1,0.3905954649069136
19,2,7,8,18,2,0.3905954649069136
0,2,5,8,18,1,0.3905954649069136
5,2,5,8,22,2,0.3905954649069136
23,2,7,8,22,2,0.3905954649069136
4,2,5,8,22,1,0.3905954649069136
3,2,5,8,20,2,0.3905954649069136
2,2,5,8,20,1,0.3905954649069136
1,2,5,8,18,2,0.3905954649069136
94,3,9,8,22,1,0.3896346218329144
95,3,9,8,22,2,0.3896346218329144
93,3,9,8,20,2,0.3896346218329144
92,3,9,8,20,1,0.3896346218329144
91,3,9,8,18,2,0.3896346218329144
90,3,9,8,18,1,0.3896346218329144
76,3,7,8,22,1,0.3487027746060614
72,3,7,8,18,1,0.3487027746060614
73,3,7,8,18,2,0.3487027746060614
75,3,7,8,20,2,0.3487027746060614
77,3,7,8,22,2,0.3487027746060614
