,k,lambda,min_size,max_size,k_hop,NMI
53,2,9,12,22,2,0.743270722956191
10,2,5,10,22,1,0.743270722956191
17,2,5,12,22,2,0.743270722956191
16,2,5,12,22,1,0.743270722956191
35,2,7,12,22,2,0.743270722956191
40,2,9,8,22,1,0.743270722956191
28,2,7,10,22,1,0.743270722956191
22,2,7,8,22,1,0.743270722956191
11,2,5,10,22,2,0.743270722956191
41,2,9,8,22,2,0.743270722956191
23,2,7,8,22,2,0.743270722956191
29,2,7,10,22,2,0.743270722956191
46,2,9,10,22,1,0.743270722956191
5,2,5,8,22,2,0.743270722956191
4,2,5,8,22,1,0.743270722956191
47,2,9,10,22,2,0.743270722956191
52,2,9,12,22,1,0.743270722956191
34,2,7,12,22,1,0.743270722956191
64,3,5,10,22,1,0.6304389792408988
70,3,5,12,22,1,0.6304389792408988
71,3,5,12,22,2,0.6304389792408988
59,3,5,8,22,2,0.6304389792408988
58,3,5,8,22,1,0.6304389792408988
65,3,5,10,22,2,0.6304389792408988
32,2,7,12,20,1,0.5904480638733445
33,2,7,12,20,2,0.5904480638733445
27,2,7,10,20,2,0.5904480638733445
14,2,5,12,20,1,0.5904480638733445
26,2,7,10,20,1,0.5904480638733445
2,2,5,8,20,1,0.5904480638733445
21,2,7,8,20,2,0.5904480638733445
20,2,7,8,20,1,0.5904480638733445
3,2,5,8,20,2,0.5904480638733445
15,2,5,12,20,2,0.5904480638733445
8,2,5,10,20,1,0.5904480638733445
9,2,5,10,20,2,0.5904480638733445
51,2,9,12,20,2,0.5567794317424497
50,2,9,12,20,1,0.5567794317424497
45,2,9,10,20,2,0.5567794317424497
44,2,9,10,20,1,0.5567794317424497
38,2,9,8,20,1,0.5567794317424497
39,2,9,8,20,2,0.5567794317424497
62,3,5,10,20,1,0.5496933557537748
69,3,5,12,20,2,0.5496933557537748
57,3,5,8,20,2,0.5496933557537748
56,3,5,8,20,1,0.5496933557537748
68,3,5,12,20,1,0.5496933557537748
63,3,5,10,20,2,0.5496933557537748
60,3,5,10,18,1,0.5405501908410771
61,3,5,10,18,2,0.5405501908410771
55,3,5,8,18,2,0.5405501908410771
80,3,7,10,20,1,0.5315606484527794
74,3,7,8,20,1,0.5315606484527794
81,3,7,10,20,2,0.5315606484527794
75,3,7,8,20,2,0.5315606484527794
87,3,7,12,20,2,0.5315606484527794
86,3,7,12,20,1,0.5315606484527794
83,3,7,10,22,2,0.5237075840787484
99,3,9,10,20,2,0.5237075840787484
106,3,9,12,22,1,0.5237075840787484
77,3,7,8,22,2,0.5237075840787484
7,2,5,10,18,2,0.5237075840787484
105,3,9,12,20,2,0.5237075840787484
104,3,9,12,20,1,0.5237075840787484
101,3,9,10,22,2,0.5237075840787484
100,3,9,10,22,1,0.5237075840787484
98,3,9,10,20,1,0.5237075840787484
82,3,7,10,22,1,0.5237075840787484
95,3,9,8,22,2,0.5237075840787484
94,3,9,8,22,1,0.5237075840787484
93,3,9,8,20,2,0.5237075840787484
92,3,9,8,20,1,0.5237075840787484
76,3,7,8,22,1,0.5237075840787484
89,3,7,12,22,2,0.5237075840787484
88,3,7,12,22,1,0.5237075840787484
107,3,9,12,22,2,0.5237075840787484
54,3,5,8,18,1,0.5140418319943942
67,3,5,12,18,2,0.5140418319943942
66,3,5,12,18,1,0.5140418319943942
73,3,7,8,18,2,0.5054385595464103
85,3,7,12,18,2,0.5054385595464103
78,3,7,10,18,1,0.5054385595464103
91,3,9,8,18,2,0.5054385595464103
90,3,9,8,18,1,0.5054385595464103
96,3,9,10,18,1,0.5054385595464103
102,3,9,12,18,1,0.5054385595464103
84,3,7,12,18,1,0.5054385595464103
103,3,9,12,18,2,0.5054385595464103
72,3,7,8,18,1,0.5054385595464103
79,3,7,10,18,2,0.5054385595464103
97,3,9,10,18,2,0.5054385595464103
18,2,7,8,18,1,0.4508058056129292
19,2,7,8,18,2,0.4508058056129292
24,2,7,10,18,1,0.4508058056129292
25,2,7,10,18,2,0.4508058056129292
37,2,9,8,18,2,0.4508058056129292
30,2,7,12,18,1,0.4508058056129292
31,2,7,12,18,2,0.4508058056129292
36,2,9,8,18,1,0.4508058056129292
42,2,9,10,18,1,0.4508058056129292
43,2,9,10,18,2,0.4508058056129292
48,2,9,12,18,1,0.4508058056129292
49,2,9,12,18,2,0.4508058056129292
1,2,5,8,18,2,0.4226673966246289
13,2,5,12,18,2,0.4226673966246289
12,2,5,12,18,1,0.4226673966246289
6,2,5,10,18,1,0.4226673966246289
0,2,5,8,18,1,0.4226673966246289
