Description,Graph_Type,Overlap_Ratio,Noise,Lambda,NMI,F1[t/d],F1[d/t],Omega,Avg_Overlap_Size,Detected_Overlap_Ratio
"No overlap, noise-free",Erdős-Rényi,0.0,False,5,0.5496933557537748,0.4411764705882353,0.4411764705882353,0.7272727272727273,9.666666666666666,0.6764705882352942
"No overlap, noise-free",Erdős-Rényi,0.0,False,7,0.5315606484527794,0.47058823529411764,0.47058823529411764,0.7219251336898396,9.0,0.6764705882352942
"No overlap, noise-free",Erdős-Rényi,0.0,False,9,0.5237075840787484,0.5,0.5,0.7201426024955436,7.666666666666667,0.6764705882352942
"No overlap, noisy",Erdős-Rényi,0.0,True,5,0.5496933557537748,0.4411764705882353,0.4411764705882353,0.7272727272727273,9.666666666666666,0.6764705882352942
"No overlap, noisy",Erdős-Rényi,0.0,True,7,0.5237075840787484,0.5,0.5,0.7201426024955436,7.666666666666667,0.6764705882352942
"No overlap, noisy",Erdős-Rényi,0.0,True,9,0.5237075840787484,0.5,0.5,0.7201426024955436,7.666666666666667,0.6764705882352942
"20% overlap, noise-free",Erdős-Rényi,0.2,False,5,0.4744511500023566,0.5588235294117647,0.5588235294117647,0.7165775401069518,8.666666666666666,0.5294117647058824
"20% overlap, noise-free",Erdős-Rényi,0.2,False,7,0.4744511500023566,0.5588235294117647,0.5588235294117647,0.7165775401069518,8.666666666666666,0.5294117647058824
"20% overlap, noise-free",Erdős-Rényi,0.2,False,9,0.5091696946390663,0.6764705882352942,0.6764705882352942,0.7433155080213903,4.666666666666667,0.4117647058823529
"20% overlap, noisy",Erdős-Rényi,0.2,True,5,0.4744511500023566,0.5588235294117647,0.5588235294117647,0.7165775401069518,9.0,0.5588235294117647
"20% overlap, noisy",Erdős-Rényi,0.2,True,7,0.4744511500023566,0.5588235294117647,0.5588235294117647,0.7165775401069518,9.0,0.5588235294117647
"20% overlap, noisy",Erdős-Rényi,0.2,True,9,0.4744511500023566,0.5588235294117647,0.5588235294117647,0.7165775401069518,9.0,0.5588235294117647
"No overlap, noise-free",Barabási-Albert,0.0,False,5,0.4570104729689671,0.11764705882352941,0.11764705882352941,0.7201426024955436,4.5,0.2647058823529412
"No overlap, noise-free",Barabási-Albert,0.0,False,7,0.6859682146385796,0.2647058823529412,0.2647058823529412,0.8484848484848485,3.0,0.17647058823529413
"No overlap, noise-free",Barabási-Albert,0.0,False,9,0.6859682146385796,0.2647058823529412,0.2647058823529412,0.8484848484848485,3.0,0.17647058823529413
"No overlap, noisy",Barabási-Albert,0.0,True,5,0.7123920395082036,0.0,0.0,0.8609625668449198,6.0,0.35294117647058826
"No overlap, noisy",Barabási-Albert,0.0,True,7,0.6136340725661514,0.11764705882352941,0.11764705882352941,0.8003565062388592,4.5,0.2647058823529412
"No overlap, noisy",Barabási-Albert,0.0,True,9,0.9088872946571218,0.3235294117647059,0.3235294117647059,0.9625668449197861,3.5,0.20588235294117646
"20% overlap, noise-free",Barabási-Albert,0.2,False,5,0.4542564361011995,0.47058823529411764,0.47058823529411764,0.7005347593582888,3.0,0.17647058823529413
"20% overlap, noise-free",Barabási-Albert,0.2,False,7,0.4542564361011995,0.47058823529411764,0.47058823529411764,0.7005347593582888,3.0,0.17647058823529413
"20% overlap, noise-free",Barabási-Albert,0.2,False,9,0.4542564361011995,0.47058823529411764,0.47058823529411764,0.7005347593582888,3.0,0.17647058823529413
"20% overlap, noisy",Barabási-Albert,0.2,True,5,0.4542564361011995,0.47058823529411764,0.47058823529411764,0.7005347593582888,3.0,0.17647058823529413
"20% overlap, noisy",Barabási-Albert,0.2,True,7,0.4542564361011995,0.47058823529411764,0.47058823529411764,0.7005347593582888,3.0,0.17647058823529413
"20% overlap, noisy",Barabási-Albert,0.2,True,9,0.49152429315595964,0.3235294117647059,0.3235294117647059,0.7361853832442068,2.5,0.14705882352941177
